Date,Sun,Moon,Mercury,Venus,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto,True Node
13.06.1948,81.88045750,155.50004921,97.18318633,99.20765143,161.45335456,264.35897967,138.45042239,86.03600014,190.23115317,133.08322116,43.40784196
14.06.1948,82.83572337,169.72916601,97.03377292,98.80158564,161.95376984,264.23140670,138.53941422,86.09554765,190.22695241,133.10385742,43.38970335
15.06.1948,83.79071647,183.74338923,96.81440509,98.36102932,162.45706701,264.10370650,138.62953325,86.15513126,190.22327228,133.12481256,43.39499605
16.06.1948,84.74545635,197.53015857,96.52859635,97.88796956,162.96319628,263.97597716,138.72076932,86.21475890,190.22012226,133.14608982,43.41465106
17.06.1948,85.69996578,211.09146922,96.18076409,97.38472364,163.47211012,263.84831434,138.81311165,86.27449443,190.21751062,133.16769142,43.43580924
18.06.1948,86.65426851,224.43622824,95.77625927,96.85393132,163.98376228,263.72080983,138.90654736,86.33363506,190.21544291,133.18961705,43.44455359
19.06.1948,87.60838769,237.57428092,95.32136748,96.29853953,164.49810720,263.59355103,139.00106072,86.39348879,190.21392124,133.21186315,43.42872523
20.06.1948,88.56234502,250.51311767,94.82327659,95.72177956,165.01510012,263.46662121,139.09663321,86.45317563,190.21294446,133.23442293,43.38024037
21.06.1948,89.51616068,263.25743305,94.29000830,95.12713675,165.53469766,263.34010045,139.19324420,86.51282111,190.21250883,133.25728719,43.29654794
22.06.1948,90.46985374,275.81106502,93.73031276,94.51831348,166.05685876,263.21406710,139.29087212,86.57242574,190.21260933,133.28044539,43.18105502
23.06.1948,91.42344271,288.18043795,93.15352863,93.89918599,166.58154551,263.08859921,139.38949562,86.63197792,190.21324088,133.30388705,43.04251902
24.06.1948,92.37694612,300.37846481,92.56941354,93.27375610,167.10872382,262.96377566,139.48909456,86.69146437,190.21439944,133.32760267,42.89355428
25.06.1948,93.33038268,312.42797214,91.98795286,92.64609940,167.63836344,262.83967682,139.58965050,86.75087241,190.21608253,133.35158435,42.74851269
26.06.1948,94.28377124,324.36401650,91.41915719,92.02031132,168.17043776,262.71638471,139.69114681,86.81019071,190.21828941,133.37582589,42.62107294
27.06.1948,95.23713071,336.23482207,90.87285960,91.40045313,168.70492347,262.59398292,139.79356856,86.86940939,190.22102101,133.40032280,42.52191256
28.06.1948,96.19047986,348.10134977,90.35852417,90.79049930,169.24180013,262.47255648,139.89690241,86.92851998,190.22427983,133.42507214,42.45683031
29.06.1948,97.14383706,0.03560841,89.88507553,90.19428766,169.78104978,262.35219150,140.00113629,86.98751523,190.22806966,133.45007228,42.42562573
30.06.1948,98.09721981,12.11774447,89.46075747,89.61547358,170.32265637,262.23297481,140.10625902,87.04638874,190.23239522,133.47532250,42.42193565

July,,,,,,,,,,,
01.07.1948,99.05064409,24.43174490,89.09302580,89.05748926,170.86660524,262.11499343,140.21225985,87.10513451,190.23726171,133.50082259,42.43409855
02.07.1948,100.00412357,37.05937739,88.78847786,88.52350919,171.41288238,261.99833418,140.31912792,87.16374651,190.24267432,133.52657233,42.44698536
03.07.1948,100.95766838,50.07193168,88.55281822,88.01642221,171.96147345,261.88308295,140.42685152,87.22221791,190.24863755,133.55257080,42.44460449
04.07.1948,101.91128351,63.51964713,88.39085734,87.53881083,172.51236212,261.76932354,140.53541685,87.28053995,190.25515403,133.57881520,42.41315261
05.07.1948,102.86496673,77.41967572,88.30653920,87.09293833,173.06552786,261.65713610,140.64480638,87.33870043,190.26222296,133.60529932,42.34402777
